bank_name,url,selector,js,type,pref,code
北央信用組合,https://www.hokuoh.shinkumi.jp/rate/,,,信用組合,北海道,2011
札幌中央信用組合,https://www.sa-chushin.shinkumi.jp/01saving/index.html,,,信用組合,北海道,2013
ウリ信用組合,https://www.urishinkumi.com/settlement/,,,信用組合,北海道,2014
函館商工信用組合,https://www.hakodate.shinkumi.jp/kinri2.pdf,,,信用組合,北海道,2017
空知商工信用組合,https://www.sorachi.shinkumi.jp/service/yokin/interestrateinfo/index.html,,,信用組合,北海道,2019
十勝信用組合,https://www.tokachishinkumi.com/customer/deposit/rate-d.html,,,信用組合,北海道,2024
釧路信用組合,https://www.shinkin.co.jp/kushiro/newrate/rate.html,,,信用組合,北海道,2025
青森県信用組合,https://www.toonippo.co.jp/articles/-/1756006,,,信用組合,青森県,2030
杜陵信用組合,https://www.toryo-shinkumi.jp/framepage52.htm,,,信用組合,岩手県,2045
岩手県医師信用組合,http://www.idcu.shinkumi.jp/,,,信用組合,岩手県,2049
あすか信用組合,https://www.asuka-c.jp/service/index2.html,,,信用組合,東京都,2060
石巻商工信用組合,https://www.ishinomakisyokou.shinkumi.jp/yokin/kinri.html,,,信用組合,宮城県,2061
古川信用組合,https://www.furushin.co.jp/rates,,,信用組合,宮城県,2062
仙北信用組合,https://www.senpoku.shinkumi.jp/pages/kinri.html,,,信用組合,宮城県,2063
秋田県信用組合,https://www.akita-kenshin.jp/info/rate.html,,,信用組合,秋田県,2075
北郡信用組合,https://www.kitagunshinkumi.jp/other/interest_rate.html,,,信用組合,山形県,2083
山形中央信用組合,https://www.yamachuu-ca.co.jp/images/pdf/202405_yokinkinri.pdf,,,信用組合,山形県,2084
山形第一信用組合,https://www.yamagatadaiichi.com/tameru.html,,,信用組合,山形県,2085
山形県医師信用組合,https://www.yama-ishishinkumi.co.jp/product02.html,,,信用組合,山形県,2087
福島県商工信用組合,https://www.fukushimakenshin.co.jp/tesuuryou.html,,,信用組合,福島県,2090
いわき信用組合,https://www.iwaki-shinkumi.com/kinri.html,,,信用組合,福島県,2092
相双五城信用組合,https://manecom.com/companies/credit_unions/soso_gojyou_shinkumi_bank,,,信用組合,福島県,2095
会津商工信用組合,https://www.aizushinkumi.co.jp/rate.html,,,信用組合,福島県,2096
茨城県信用組合,https://www.kenshinbank.co.jp/tesuryo/yokinrate/index.html,,,信用組合,茨城県,2101
真岡信用組合,https://www.moka.shinkumi.jp/topics/deposit.html,,,信用組合,栃木県,2122
那須信用組合,https://www.nasushin.co.jp/interest_rates.html,,,信用組合,栃木県,2125
あかぎ信用組合,https://www.skibank.co.jp/akagi/personal/index.html,,,信用組合,群馬県,2143
群馬県信用組合,https://www.kenshinyo.co.jp/kinri/yokin.html,,,信用組合,群馬県,2146
ぐんまみらい信用組合,https://www.skibank.co.jp/gunmamirai/personal/deposit.html,,,信用組合,群馬県,2149
群馬県医師信用組合,http://www.gunmaishi.shinkumi.jp/,,,信用組合,群馬県,2151
埼玉県医師信用組合,https://www.stdb.co.jp/shouhin/yokin.html,,,信用組合,埼玉県,2162
熊谷商工信用組合,https://www.kumashin.co.jp/tameru/yokin_kinri.pdf,,,信用組合,埼玉県,2165
埼玉信用組合,https://www.saishin.co.jp/kinri/yokin.shtml,,,信用組合,埼玉県,2167
房総信用組合,https://www.boshin.jp/deposit,,,信用組合,千葉県,2180
銚子商工信用組合,https://www.choshi-shoko.co.jp/rate/,,,信用組合,千葉県,2184
君津信用組合,https://kimishin.jp/interest/,,,信用組合,千葉県,2190
全東栄信用組合,https://www.zentouei.shinkumi.net/eigyou.html,,,信用組合,東京都,2202
東浴信用組合,http://www.touyoku.shinkumi.net/pdf/oshirase20240405.pdf,,,信用組合,東京都,2210
文化産業信用組合,https://www.bunka-shinyo.co.jp/rate.html,,,信用組合,東京都,2211
東京証券信用組合,https://www.tokyosyoken.shinkumi.jp/deposits/,,,信用組合,東京都,2215
東京厚生信用組合,https://www.tokyokosei.co.jp/company/files/yokinkinri_20240510.pdf,,,信用組合,東京都,2224
東信用組合,https://www.azuma.shinkumi.jp/pdf/oshirase20240408.pdf,,,信用組合,東京都,2226
江東信用組合,https://www.koutou.shinkumi.jp/yokin.html,,,信用組合,東京都,2229
青和信用組合,https://www.cb-seiwa.co.jp/kitei/time_deposit03.html,,,信用組合,東京都,2231
中ノ郷信用組合,https://www.nakanogou.shinkumi.co.jp/kinri.html,,,信用組合,東京都,2235
共立信用組合,https://www.kyouritsu.shinkumi.co.jp/service/deposit.html,,,信用組合,東京都,2241
七島信用組合,https://www.shichitou.shinkumi.co.jp/individual/index.html,,,信用組合,東京都,2243
大東京信用組合,https://www.daisin.co.jp/kinri/index.html,,,信用組合,東京都,2248
第一勧業信用組合,https://www.daiichikanshin.com/common/interest_rate/,,,信用組合,東京都,2254
警視庁職員信用組合,https://www.keishintokyo.co.jp/rate_fee.html,,,信用組合,東京都,2271
東京消防信用組合,https://www.shoubou.co.jp/deposit/contents/rate.html,,,信用組合,東京都,2274
東京都職員信用組合,https://www.toshokushin.co.jp/deposit/pdf/yokin-kinri.pdf,,,信用組合,東京都,2276
ハナ信用組合,https://www.hanashinkumi.com/kinri.php,,,信用組合,東京都,2277
神奈川県医師信用組合,https://www.ishishin.co.jp/rate/,,,信用組合,神奈川県,2304
神奈川県歯科医師信用組合,https://www.shikashin.co.jp/rate,,,信用組合,神奈川県,2305
横浜幸銀信用組合,https://www.yokohamakougin.co.jp/savings/kinri.html,,,信用組合,神奈川県,2306
信用組合横浜華銀,https://www.yokohamakougin.co.jp/savings/kinri.html,,,信用組合,神奈川県,2307
小田原第一信用組合,http://www.daishin.shinkumi.jp/interest_rates02.html,,,信用組合,神奈川県,2315
相愛信用組合,https://www.soaishinkumi.co.jp/product/deposit/,,,信用組合,神奈川県,2318
静岡県医師信用組合,https://www.shizuokaishin.shinkumi.net/kinri/yokin/,,,信用組合,静岡県,2332
新潟縣信用組合,https://www.niigata-kenshin.co.jp/personal/kinri/index.html,,,信用組合,新潟県,2351
新潟鉄道信用組合,https://www.habataki-shinkumi.jp/,,,信用組合,新潟県,2354
興栄信用組合,http://www.kouei.shinkumi.jp/pdf/oshirase20240405.pdf,,,信用組合,新潟県,2356
はばたき信用組合,https://www.habataki-shinkumi.jp/pdf/yokin-kinri.pdf,,,信用組合,新潟県,2357
協栄信用組合,https://www.kyoei-shinkumi.jp/rates/,,,信用組合,新潟県,2360
三條信用組合,https://www.niigata-nippo.co.jp/articles/-/382911,,,信用組合,新潟県,2361
巻信用組合,https://www.maki.shinkumi.jp/save/pdf/interest.pdf,,,信用組合,新潟県,2362
新潟大栄信用組合,https://www.niigata-daiei.shinkumi.jp/work/index.html,,,信用組合,新潟県,2363
ゆきぐに信用組合,https://www.niigata-nippo.co.jp/articles/-/380960,,,信用組合,新潟県,2365
糸魚川信用組合,https://itoigawa-shinkumi.co.jp/tameru/,,,信用組合,新潟県,2366
山梨県民信用組合,https://www.yamanashikenmin.shinkumi.jp/rate/pdf/rate.pdf,,,信用組合,山梨県,2377
都留信用組合,https://www.tsurushinkumi.co.jp/service/rate.html,,,信用組合,山梨県,2378
長野県信用組合,https://www.naganokenshin.jp/pages/kinri-deposit-rates,,,信用組合,長野県,2390
富山県医師信用組合,https://www.toyamadcu.co.jp/yokin-syouhin.html,,,信用組合,富山県,2402
富山県信用組合,https://www.toyama-kenshin.co.jp/deposit-rate/,,,信用組合,富山県,2404
金沢中央信用組合,https://www.chuou.shinkumi.jp/yokin_riritsu.html,,,信用組合,石川県,2411
石川県医師信用組合,https://www.ishikawaishishin.co.jp/deposit/rate/,,,信用組合,石川県,2417
福泉信用組合,https://www.fukusen.jp/Deposit/InterestChart.php,,,信用組合,福井県,2430
福井県医師信用組合,https://fukui-med-ishin.jp/deposit-rate/,,,信用組合,福井県,2435
丸八信用組合,https://www.maruhachi-shinkumi.jp/loan/,,,信用組合,愛知県,2440
信用組合愛知商銀,https://www.a-sg.jp/deposit/account/,,,信用組合,愛知県,2442
愛知県警察信用組合,https://www.aichikeishin.shinkumi.jp/info/kinri.html,,,信用組合,愛知県,2443
名古屋青果物信用組合,http://www.seisin.shinkumi.jp/,,,信用組合,愛知県,2444
