bank_name,url,selector,js,type,pref,code
みずほ銀行,,,0,都銀,東京,
SMBC,,,0,都銀,東京,
りそな,,,0,都銀,東京,
ソニー銀行,,,0,新業態,東京,
大和ネクスト銀行,,,0,新業態,東京,
みんなの銀行,,,0,新業態,東京,
楽天銀行,,,0,新業態,東京,
ローソン銀行,,,0,新業態,東京,
ゆうちょ銀行,,,0,新業態,東京,
UI銀行,,,0,新業態,東京,
埼玉りそな銀行,,,,地方銀行,埼玉県,17
北海道銀行,,,,地方銀行,北海道,116
青森銀行,,,,地方銀行,青森県,117
みちのく銀行,,,,地方銀行,青森県,118
秋田銀行,,,,地方銀行,秋田県,119
北都銀行,,,,地方銀行,秋田県,120
荘内銀行,,,,地方銀行,山形県,121
山形銀行,,,,地方銀行,山形県,122
岩手銀行,,,,地方銀行,岩手県,123
東北銀行,,,,地方銀行,岩手県,124
七十七銀行,,,,地方銀行,宮城県,125
東邦銀行,,,,地方銀行,福島県,126
群馬銀行,,,,地方銀行,群馬県,128
足利銀行,,,,地方銀行,栃木県,129
常陽銀行,,,,地方銀行,茨城県,130
筑波銀行,,,,地方銀行,茨城県,131
武蔵野銀行,,,,地方銀行,埼玉県,133
千葉銀行,,,,地方銀行,千葉県,134
千葉興業銀行,,,,地方銀行,千葉県,135
きらぼし銀行,,,,地方銀行,東京都,137
横浜銀行,,,,地方銀行,神奈川県,138
第四北越銀行,,,,地方銀行,新潟県,140
山梨中央銀行,,,,地方銀行,山梨県,142
八十二銀行,,,,地方銀行,長野県,143
北陸銀行,,,,地方銀行,富山県,144
富山銀行,,,,地方銀行,富山県,145
北國銀行,,,,地方銀行,石川県,146
福井銀行,,,,地方銀行,福井県,147
静岡銀行,,,,地方銀行,静岡県,149
スルガ銀行,,,,地方銀行,静岡県,150
清水銀行,,,,地方銀行,静岡県,151
大垣共立銀行,,,,地方銀行,岐阜県,152
十六銀行,,,,地方銀行,岐阜県,153
三十三銀行,,,,地方銀行,三重県,154
百五銀行,,,,地方銀行,三重県,155
滋賀銀行,,,,地方銀行,滋賀県,157
京都銀行,,,,地方銀行,京都府,158
関西みらい銀行,,,,地方銀行,大阪府,159
池田泉州銀行,,,,地方銀行,大阪府,161
南都銀行,,,,地方銀行,奈良県,162
紀陽銀行,,,,地方銀行,和歌山県,163
但馬銀行,,,,地方銀行,兵庫県,164
鳥取銀行,,,,地方銀行,鳥取県,166
山陰合同銀行,,,,地方銀行,島根県,167
中国銀行,,,,地方銀行,岡山県,168
広島銀行,,,,地方銀行,広島県,169
山口銀行,,,,地方銀行,山口県,170
阿波銀行,,,,地方銀行,徳島県,172
百十四銀行,,,,地方銀行,香川県,173
伊予銀行,,,,地方銀行,愛媛県,174
四国銀行,,,,地方銀行,高知県,175
福岡銀行,,,,地方銀行,福岡県,177
