bank_name,url,selector,js,type,pref,code
東京東信用金庫,https://www.higashin.co.jp/information/documents/2024_001_01.pdf,,,信用金庫,東京都,1320
東榮信用金庫,https://www.toeishinkin.co.jp/page_id=73.html,#table04 > tbody > tr:nth-child(2) > td:nth-child(1),,信用金庫,東京都,1321
亀有信用金庫,https://www.shinkin.co.jp/kameari/pc/_office/interest.php,#top1 > div:nth-child(7) > div > div.body1left680 > div.body1left680 > div:nth-child(121),,信用金庫,東京都,1323
小松川信用金庫,https://www.shinkin.co.jp/komashin/rate.html,#top-news > div > div:nth-child(1) > table:nth-child(2) > tbody > tr:nth-child(1) > td,,信用金庫,東京都,1326
足立成和信用金庫,https://www.adachiseiwa.co.jp/about/kinri/?auth=903dac5adeec9344a695c6b27df84795,,,信用金庫,東京都,1327
東京三協信用金庫,https://www.shinkin.co.jp/sankyo/kinri.htm,body > div > div > table > tbody > tr:nth-child(4) > td:nth-child(3) > table > tbody > tr > td:nth-child(3) > table:nth-child(3) > tbody > tr > td > table:nth-child(1) > tbody > tr:nth-child(2) > td.thnum,,信用金庫,東京都,1333
西京信用金庫,https://www.shinkin.co.jp/saikyo/kinri/index.shtml,#item01 > div:nth-child(4) > p,,信用金庫,東京都,1336
西武信用金庫,https://www.shinkin.co.jp/seibu/kinri/deposit/,#wrap > div.container > div > div.inner_s > div:nth-child(19) > table > tbody > tr > td:nth-child(3),,信用金庫,東京都,1341
城南信用金庫,https://www.jsbank.co.jp/saving/kinri/,#top > main > div > div.l-main-contets > section > section > ul > li:nth-child(1) > table > tbody > tr > td,,信用金庫,東京都,1344
昭和信用金庫,https://www.shinkin.co.jp/showa/individual/rate/index.html,#main > div:nth-child(3) > div > div > table.c-table.c-table__mt.c-table__full > tbody > tr:nth-child(1) > td:nth-child(3),,信用金庫,東京都,1345
目黒信用金庫,https://www.shinkin.co.jp/meguro/fr_regulation.html,,,信用金庫,東京都,1346
世田谷信用金庫,https://www.shinkin.co.jp/setagaya/service/rate.html,#contents > div > div.articleBox > section > div > table > tbody > tr:nth-child(33) > td:nth-child(2),,信用金庫,東京都,1348
東京信用金庫,https://www.tokyo-shinkin.co.jp/rate/index.html,body > div > div > div.col-sm-9.pb20px > div:nth-child(19) > table > tbody > tr:nth-child(1) > td:nth-child(2),,信用金庫,東京都,1349
城北信用金庫,https://www.johokubank.jp/product/service/rates.html,#contents > section:nth-child(4) > div > div:nth-child(6) > div:nth-child(1) > table > tbody > tr:nth-child(2) > td,,信用金庫,東京都,1351
瀧野川信用金庫,https://www.shinkin.co.jp/takishin/info/rate.html,#mainContents > table:nth-child(12) > tbody > tr:nth-child(2) > td,,信用金庫,東京都,1352
巣鴨信用金庫,https://www.sugamo.co.jp/rate/,#mainBody > div.container > div > section:nth-child(3) > section:nth-child(3) > div.table-layout > table > tbody > tr > td,,信用金庫,東京都,1356
青梅信用金庫,https://www.aosyn.co.jp/kojin/tameru/kinri/yokin.html,#yokinkinri > table > tbody > tr:nth-child(2) > td:nth-child(3),,信用金庫,東京都,1358
多摩信用金庫,https://www.tamashin.jp/kinri/index.html,#\30 1 > tbody > tr:nth-child(1) > td,,信用金庫,東京都,1360
新潟信用金庫,https://www.niigata-shinkin.co.jp/info/interest/,#main > section > div:nth-child(13) > table > tbody > tr > td:nth-child(1),,信用金庫,新潟県,1370
長岡信用金庫,https://www.shinkin.co.jp/nagaoka/_kinri/,#contents > div > div.l-main > section > table:nth-child(16) > tbody > tr:nth-child(6) > td:nth-child(2),,信用金庫,新潟県,1371
三条信用金庫,https://www.shinkin.co.jp/sanshin/about/rate/,body > div.p-wrapper > main > article > div.l-entryWrapper > div > section:nth-child(1) > div:nth-child(20) > table > tbody > tr:nth-child(1) > td,,信用金庫,新潟県,1373
新発田信用金庫,https://www.shibata-shinkin.co.jp/wordpress/wp-content/uploads/2024/03/20240329_yokinkaitei.pdf,,,信用金庫,新潟県,1374
柏崎信用金庫,https://ksbank.jp/public/rate.php,#rate > table > tbody > tr:nth-child(2) > td,,信用金庫,新潟県,1375
上越信用金庫,https://www.joetsu-shinkin.jp/interest/,#content_wrap > div:nth-child(16) > table > tbody > tr:nth-child(2) > td,,信用金庫,新潟県,1376
新井信用金庫,https://www.shinkin.co.jp/arai/_kinri/index.html,#content > table:nth-child(27) > tbody > tr > td:nth-child(1),,信用金庫,新潟県,1377
村上信用金庫,https://www.murakami-shinkin.com/attention/20240405_kinri_hikiage.pdf,,,信用金庫,新潟県,1379
