date,bank_name,url,selector,type,pref,code,interest_rate,js,success
2024-06-09,ゆうちょ銀行,https://www.jp-bank.japanpost.jp/kinri/kinri.html,#contents > p:nth-child(6),都銀,東京,,0.02,False,True
2024-06-09,三菱UFJ銀行,https://www.bk.mufg.jp/ippan/kinri/yen_yokin.html,#K060,都銀,東京,,,True,True
2024-06-09,あおぞら銀,https://www.aozorabank.co.jp/bank/kinri/index.html,#section-01 > div > div.azb19-o-section__body > div > div.azb19-a-sections__section > div > section:nth-child(1) > div > div.azb19-a-tableArea.azb19-js-scrollable.-start.-end > div.azb19-js-scrollable__area > div > table > tbody > tr > td > div > div.azb19-o-interest__percentNum > strong,新業態,東京,,0.2,True,True
2024-06-09,山口銀行,https://www.yamaguchibank.co.jp/outline/rates/deposit/,,地方銀行,山口県,170,,,False
2024-06-09,阿波銀行,https://www.awabank.co.jp/kojin/news/2024/entry_common_17/,,地方銀行,徳島県,172,,,False
2024-06-09,百十四銀行,https://www.114bank.co.jp/support/rate_fee/interest_rate.html,,地方銀行,香川県,173,,,False
2024-06-09,伊予銀行,https://www.iyobank.co.jp/kinri-gaikokukawasesoba-market/houkayokinkinri.html,,地方銀行,愛媛県,174,,,False
2024-06-09,四国銀行,https://www.shikokubank.co.jp/individual/kinri/yokin.html,,地方銀行,高知県,175,,,False
2024-06-09,福岡銀行,https://www.fukuokabank.co.jp/price/depositrate/,,地方銀行,福岡県,177,,,False
2024-06-09,筑邦銀行,https://www.chikugin.co.jp/riritsu/,,地方銀行,福岡県,178,,,False
2024-06-09,佐賀銀行,https://www.sagabank.co.jp/guide/kinri/deposit/,,地方銀行,佐賀県,179,,,False
2024-06-09,十八親和銀行,https://www.18shinwabank.co.jp/price/depositrate/,,地方銀行,長崎県,181,,,False
2024-06-09,肥後銀行,https://www.higobank.co.jp/rate/,,地方銀行,熊本県,182,,,False
2024-06-09,大分銀行,https://www.oitabank.co.jp/interestrate-fee/kinri/yokin.html,,地方銀行,大分県,183,,,False
2024-06-09,宮崎銀行,https://www.miyagin.co.jp/fees-rate/rate/deposit/,,地方銀行,宮崎県,184,,,False
2024-06-09,鹿児島銀行,https://www.kagin.co.jp/view.php?pageId=1457,,地方銀行,鹿児島県,185,,,False
2024-06-09,琉球銀行,https://www.ryugin.co.jp/kinri-commission-souba/kinri/yokin/,,地方銀行,沖縄県,187,,,False
2024-06-09,沖縄銀行,https://www.okinawa-bank.co.jp/kinri/yokin.html,,地方銀行,沖縄県,188,,,False
2024-06-09,西日本シティ銀行,https://www2.ncbank.co.jp/sp/rate/yokin.html,,地方銀行,福岡県,190,,,False
2024-06-09,北九州銀行,https://www.kitakyushubank.co.jp/outline/rates/deposit/,,地方銀行,福岡県,191,,,False
2024-06-09,埼玉りそな銀行,https://www.saitamaresona.co.jp/kojin/enkinri.html,,地方銀行,埼玉県,17,,,False
2024-06-09,北海道銀行,https://www.hokkaidobank.co.jp/interest/yokin/,,地方銀行,北海道,116,,,False
2024-06-09,青森銀行,https://www.a-bank.jp/contents/kojin/support/rate/deposit.php,,地方銀行,青森県,117,,,False
2024-06-09,みちのく銀行,https://www.michinokubank.co.jp/kinri/enyokin.php,,地方銀行,青森県,118,,,False
2024-06-09,秋田銀行,https://www.akita-bank.co.jp/rate/,,地方銀行,秋田県,119,,,False
2024-06-09,滋賀銀行,https://www.shigagin.com/rate/deposit/,,地方銀行,滋賀県,157,,,False
2024-06-09,京都銀行,https://www.kyotobank.co.jp/kinri/yokin/,,地方銀行,京都府,158,,,False
2024-06-09,関西みらい銀行,https://www.kansaimiraibank.co.jp/kojin/enkinri.html,,地方銀行,大阪府,159,,,False
2024-06-09,池田泉州銀行,https://www.sihd-bk.jp/personal/interest/yen/,,地方銀行,大阪府,161,,,False
2024-06-09,南都銀行,https://www.nantobank.co.jp/kinri/20240603.html,,地方銀行,奈良県,162,,,False
2024-06-09,清水銀行,https://www.shimizubank.co.jp/interest/rate/yokin.html,,地方銀行,静岡県,151,,,False
2024-06-09,大垣共立銀行,https://www.okb.co.jp/cgi-bin/kinri_rate/kinri_rate.php,,地方銀行,岐阜県,152,,,False
2024-06-09,十六銀行,https://www.juroku.co.jp/kinri/yokin/,,地方銀行,岐阜県,153,,,False
2024-06-09,イオン銀行,https://www.aeonbank.co.jp/interest/deposit/,#maincol > div.abk-layout-container.container.responsivegrid.aem-GridColumn.aem-GridColumn--default--12 > div > div > div:nth-child(1) > div > table.table-01 > tbody > tr:nth-child(1) > td,新業態,東京,,0.02,False,True
2024-06-09,ＳＢＪ銀行,https://www.sbjbank.co.jp/individual/interest.html,#txtarea > div:nth-child(4) > table > tbody > tr:nth-child(15) > td:nth-child(3),新業態,東京,,0.02,False,True
2024-06-09,auじぶん銀行,https://www.jibunbank.co.jp/interest_and_commission/interest/,#flg-yenDeposit > div.body > table > tbody > tr:nth-child(1) > td > div > p,新業態,東京,,0.03,False,True
2024-06-09,三十三銀行,https://www.33bank.co.jp/kojin/tameru/kinri.html,,地方銀行,三重県,154,,,False
