bank_name,url,robots_txt_url,crawl_status
きのくに信用金庫,https://www.kinokuni-shinkin.jp/personal/kinri/yokin-kinri.html,https://www.kinokuni-shinkin.jp/robots.txt,No robots.txt
神戸信用金庫,https://www.shinkinbank.co.jp/service/yokin.html,https://www.shinkinbank.co.jp/robots.txt,No robots.txt
姫路信用金庫,https://www.shinkin.co.jp/himeshin/kinri/yokin_kinri.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
播州信用金庫,https://www.shinkin.co.jp/banshin/kinri/deposit.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
兵庫信用金庫,https://www.shinkin.co.jp/hyoshin/tesuuryou/yokin_kinri.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
尼崎信用金庫,https://www.amashin.co.jp/jyoho/amakinri.html,https://www.amashin.co.jp/robots.txt,No robots.txt
日新信用金庫,https://www.nisshin-shinkin.co.jp/kojin/interest.php,https://www.nisshin-shinkin.co.jp/robots.txt,No robots.txt
淡路信用金庫,https://www.shinkin.co.jp/awaji/kinri/index.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
但馬信用金庫,https://www.tanshin.co.jp/rate/,https://www.tanshin.co.jp/robots.txt,No robots.txt
西兵庫信用金庫,https://www.shinkin.co.jp/nisisin/kinri/index.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
中兵庫信用金庫,https://www.nakashin.co.jp/CGI/interest/index.cgi,https://www.nakashin.co.jp/robots.txt,No robots.txt
但陽信用金庫,https://www.tanyo-shinkin.co.jp/rate/yokin.php,https://www.tanyo-shinkin.co.jp/robots.txt,No robots.txt
鳥取信用金庫,https://www.shinkin.co.jp/torishin/yokin_kinri.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
米子信用金庫,https://www.shinkin.co.jp/yonago/kinri/107/,https://www.shinkin.co.jp/robots.txt,No robots.txt
倉吉信用金庫,https://www.kurashin.co.jp/kinri/page152,https://www.kurashin.co.jp/robots.txt,True
しまね信用金庫,https://www.shimane-shinkin.co.jp/misc/interest-rates-and-fees/ir-deposit/,,Error
昭和信用金庫,https://www.shinkin.co.jp/showa/individual/rate/index.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
目黒信用金庫,https://www.shinkin.co.jp/meguro/fr_regulation.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
世田谷信用金庫,https://www.shinkin.co.jp/setagaya/service/rate.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
日本海信用金庫,https://nihonkaishinkin.co.jp/deposit.html,https://nihonkaishinkin.co.jp/robots.txt,True
島根中央信用金庫,https://www.shimanechuuou.co.jp/interest/deposit.html,https://www.shimanechuuou.co.jp/robots.txt,No robots.txt
おかやま信用金庫,https://www.shinkin.co.jp/okayama/save/rate/,https://www.shinkin.co.jp/robots.txt,No robots.txt
水島信用金庫,https://www.mizushin.co.jp/07.html,,Error
津山信用金庫,https://www.shinkin.co.jp/tsuyama/syohin/kinri/index.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
玉島信用金庫,https://www.shinkin.co.jp/tamashima-sk/rate/,https://www.shinkin.co.jp/robots.txt,No robots.txt
備北信用金庫,https://www.shinkin.co.jp/bihoku/kinri/kinri.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
吉備信用金庫,https://www.shinkin.co.jp/kibi/interest/index.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
備前日生信用金庫,https://www.shinkin.co.jp/bizenhinase/_kinri/,https://www.shinkin.co.jp/robots.txt,No robots.txt
広島信用金庫,https://www.hiroshin.co.jp/_kinri/?no=tab1,https://www.hiroshin.co.jp/robots.txt,No robots.txt
呉信用金庫,https://www.kure-shinkin.jp/_kinri/index.html,https://www.kure-shinkin.jp/robots.txt,No robots.txt
しまなみ信用金庫,http://www.shimanami-shinkin.jp/attach/news/20240328.pdf,http://www.shimanami-shinkin.jp/robots.txt,No robots.txt
広島みどり信用金庫,https://www.shinkin.co.jp/midori/kinri/,https://www.shinkin.co.jp/robots.txt,No robots.txt
萩山口信用金庫,https://www.shinkin.co.jp/hagiyamaguchi/_kinri/index.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
西中国信用金庫,https://www.shinkin.co.jp/nishichugoku/other/deposit.php,https://www.shinkin.co.jp/robots.txt,No robots.txt
東山口信用金庫,https://www.higashiyamaguchi-shinkin.co.jp/rate/riritsulist/,https://www.higashiyamaguchi-shinkin.co.jp/robots.txt,True
徳島信用金庫,https://www.shinkin.co.jp/tokusima/accumulate/ordinary.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
阿南信用金庫,http://www.anan-shinkin.jp/_kinri/index.html,http://www.anan-shinkin.jp/robots.txt,No robots.txt
高松信用金庫,https://www.takashin.co.jp/_kinri/,https://www.takashin.co.jp/robots.txt,No robots.txt
観音寺信用金庫,http://www.kanshin.co.jp/interest-rates/index.html,http://www.kanshin.co.jp/robots.txt,No robots.txt
愛媛信用金庫,https://www.shinkin.co.jp/ehime/personal/kinri.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
宇和島信用金庫,https://www.shinkin.co.jp/uwajima/kinri/,https://www.shinkin.co.jp/robots.txt,No robots.txt
東予信用金庫,http://www.toyoshinkin.co.jp/_kinri/index.html,http://www.toyoshinkin.co.jp/robots.txt,No robots.txt
川之江信用金庫,https://www.kawanoe-shinkin.co.jp/tameru/comprehensive/,https://www.kawanoe-shinkin.co.jp/robots.txt,True
幡多信用金庫,https://www.shinkin.co.jp/hatashin/interest-fee/interest.html,https://www.shinkin.co.jp/robots.txt,No robots.txt
高知信用金庫,https://www.combank.co.jp/rate/index.html,https://www.combank.co.jp/robots.txt,True
福岡信用金庫,https://www.fukuoka-shinkin.co.jp/interest.html,,Error
福岡ひびき信用金庫,https://www.fukuokahibiki.co.jp/rateslist/rate_yokyu.php,https://www.fukuokahibiki.co.jp/robots.txt,No robots.txt
